Name_English,Name_Wylie_Tibetan,Name_Tibetan,Name_Chinese,Dates,Position_Date,Img_Subtext,Description_English,Description_Tibetan,Description_Chinese,Transmission_Mode,Lineage,Taught,Taught_Familial_Related,Reincarnated_As,Family_Relationship,Emanated as,Links_Names,Links_URLs,Notes
Rahor Khenchen Tupten,ra hor mkhan thub bstan rin po che,ར་ཧོར་མཁན་ཐུབ་བསྟན་རིན་པོ་ཆེ།,,1931-2010,1931,Source: Rigpa Wiki,"20th century student of Bötrul Do-ngak Tenpai Nyima. He was from Rahor, a branch of Dzogchen monastery founded by the Third Dzogchen Rinpoche in Gyalrong near Dergé. He was a student of Pöpa Tulku. He escaped from Tibet together with his former classmate Khenpo Dazer and went together with him to Sikkim via Bhutan. (Rigpa Wiki)",,,Aural,All lineages,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Rahor-Khan-Rinpoche-Thupten/13895,
Khen Rinpoché Pema Tsewang Lhundrup (Khenpo Petsé),mkhan po pad tshe rin po che,མཁན་པོ་པད་ཚེ་རིན་པོ་ཆེ།,,1931-2002,1931,Source: Rigpa Wiki,Renowned 20th-century Nyingma scholar and lineage holder student of Bötrul Do-ngak Tenpai Nyima,,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P9514?,
Khen Chökhyap,mkhan po chos khyab,མཁན་པོ་ཆོས་ཁྱབ།,,1920-1997,1920,Source: Rigpa Wiki,Student of Bötrul Do-ngak Tenpai Nyima,,,Aural,All lineages,,,,,,,,
Pema Gyaltsen,pad+ma rgyal mtshan,པདྨ་རྒྱལ་མཚན།,,1850-1950 (approx),1880,,19th-20th century student of Terchen Lerab Lingpa,,,Aural,All lineages,,,,,,,,
Dretsé Tulku,,,,1850-1950 (approx),1880,,19th-20th century student of Terchen Lerab Lingpa,,,Aural,All lineages,,,,,,,,
Sungtrul Kunzang Nyima,rdzong gter kun bzang nyi ma,རྫོང་གཏེར་ཀུན་བཟང་ཉི་མ།,,1904?-1958?,1904,Source: Rigpa Wiki,Student of Terchen Lerab Lingpa,,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P6610?,
2nd Palyul Drupwang Pema Norbu (Rigdzin Kunzang Shedrupa),grub dbang pad+ma nor bu,གྲུབ་དབང་པདྨ་ནོར་བུ།,,1887-1932,1887,Source: Palyul International,Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,"Khenchen Ngawang Palzangpo (Khenpo Ngaga);Dartang Choktrul Chökyi Dawa Rinpoché;3rd Palyul Drupwang Pema Norbu, Jigmé Tupten Shedrup Chokyi Drayang (Kyabjé Penor Rinpoché)",,,,,,,
Bairo Rinpoché,gzhi chen bai ro rin po che,གཞི་ཆེན་བཻ་རོ་རིན་པོ་ཆེ།,,1933-2017,1933,"Source: Rigpa Wiki, courtesy of drugpa.org","20th century student of Khenchen Ngawang Palzangpo. He was recognized by Jamyang Khyentse Chökyi Lodrö as the thirty-sixth incarnation of the lotsawa Vairotsana. He was an important holder of the Katok lineage. His main seat, Shyichen Monastery in Golok, is one of the major branches of Katok Dorje Den Monastery in eastern Tibet. Shyichen Monastery has its own group of over twenty branch monasteries throughout the region. Bairo Rinpoche's older brother was Katok Moktsa Rinpoche. Bairo Rinpoche received the Nyingtik Yabshyi and other cycles of the secret Nyingtik teachings from Khenpo Ngawang Palzang. (Rigpa Wiki).",,,Aural,All lineages,,,,,,,,
Katok Chaktsa Rinpoché,ka:thog phyag tsha rin po che,ཀ༔ཐོག་ཕྱག་ཚ་རིན་པོ་ཆེ།,,19th-20th centuries,1880,,19th-20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Tromgé Choktrul Arik Rinpoché,khrom dge a rig rin po che,ཁྲོམ་དགེ་ཨ་རིག་རིན་པོ་ཆེ།,,1905-1988,1905,"Source: Rigpa Wiki, courtesy of Matthew Pistono",Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,Khen Lama Rinpoché Achuk;Chagdud Tulku Padma Gargyi Wangchuk,,,,,BDRC,https://library.bdrc.io/show/bdr:P3JM55?,
Khen Rinpoché Lekshé Jorden,mkhan po legs bshad 'byor ldan,མཁན་པོ་ལེགས་བཤད་འབྱོར་ལྡན།,,1900-2000 (approx),1900,Source: Rigpa Wiki,20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P2KG235388?,
Khenchen Nuden Khyentsei Lodrö,mkhan po nus ldan,མཁན་པོ་ནུས་ལྡན།,,1900-2000 (approx),1900,,20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P2370?,
Khenchen Yizhin Norbu Tupten Gyaltsen Özer,mkhan chen thub bstan 'od zer,མཁན་ཆེན་ཐུབ་བསྟན་འོད་ཟེར།,,1900-2000 (approx),1880,,19th-20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Golok Khenchen Munsel,mkhan po mun sel,མཁན་པོ་མུན་སེལ།,,1916-1993,1916,"Source: Rigpa Wiki, courtesy of Matthew Pistono",Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,Choktrul Garwang Nyima,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Khenpo-Munsel/9929,
Golok Lama Garchö,bla ma mgar chos,བླ་མ་མགར་ཆོས།,,1900-2000 (approx),1900,,20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Choktrul Orgyen Chemchok,mchog sprul o rgyan che mchog,མཆོག་སྤྲུལ་ཨོ་རྒྱན་ཆེ་མཆོག།,,1915-2000,1915,,"Student of Khenchen Ngawang Palzangpo, and of Dudjom Rinpoche who taught secretly the Dzogchen pith instructions to students while in prison for twenty years. (Rigpa Wiki)",,,Aural,All lineages,Choktrul Sang-ngak Tendzin (Tulku Sang-ngak),,,,,BDRC,https://library.bdrc.io/show/bdr:P3JM63?,
Trakya Lama Rinpoché Palden,khra skya bla ma rin po che dpal ldan,ཁྲ་སྐྱ་བླ་མ་རིན་པོ་ཆེ་དཔལ་ལྡན།,,1910?-1990?,1910,,Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Polu Khen Rinpoché Dorjé,spo lu mkhan po rdo rje,སྤོ་ལུ་མཁན་པོ་རྡོ་རྗེ།,,1896-1970,1897,Source: Rigpa Wiki,Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Taklung Tsetrul Rinpoché,stag lung rtse sprul bshad sgrub phrin las nyin byed bzang po,སྟག་ལུང་རྩེ་སྤྲུལ་བཤད་སྒྲུབ་ཕྲིན་ལས་ཉིན་བྱེད་བཟང་པ།,,1926-2015,1926,Source: shechen.org,"Student of Khenchen Ngawang Palzangpo, was appointed head of the Nyingma in 2012. He received the highest Dzogchen teachings from Polu Khen Rinpoché Dorjé.",,,Aural,All lineages,,,,,,,,
Chatral Rinpoché Sanjé Dorjé,bya bral sangs rgyas rdo rje,བྱ་བྲལ་སངས་རྒྱས་རྡོ་རྗེ།,,1913-2015,1913,"Source: Rigpa Wiki, courtesy of Carol Shlenger","Student of Khenchen Ngawang Palzangpo. Chatral Rinpoche also studied with some of the last century's most renowned masters, including Dudjom Rinpoche, Jamyang Khyentse Chökyi Lodrö, and the famed dakini, Sera Khandro. Rinpoche was one of the primary lineage holders of the Longchen Nyingtik, and in particular the lineage that descends through Jigme Lingpa's heart son Jikmé Gyalwé Nyugu and then on to Patrul Rinpoche. Though his main lineage is the Longchen Nyingtik, Chatral Rinpoche was also closely associated with the Dudjom Tersar lineage. He was empowered as the regent of Kyabjé Dudjom Rinpoche and passed on this lineage to this master's reincarnation, who lives primarily in central Tibet. (Rigpa Wiki).",,,Aural,All lineages,Dudjom Yangsi a.k.a. Dudjom Sangye Pema Shepa,,,,,BDRC,https://library.bdrc.io/show/bdr:P6036?,
Tersé Chimé Rinpoché,gter sras 'chi med rin po che,གཏེར་སྲས་འཆི་མེད་རིན་པོ་ཆེ།,,1900-2000,1900,,20th century student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Lama Rinpoché Orgyen Rigdzin,bla ma rin po che o rgyan rig 'dzin,བླ་མ་རིན་པོ་ཆེ་ཨོ་རྒྱན་རིག་འཛིན།,,1900-1960,1900,,Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,,,,,,,,
Lungtrul Shedrup Tenpai Nyima,rlung 'phrul bshad sgrub bstan pa'i nyi ma,རླུང་འཕྲུལ་བཤད་སྒྲུབ་བསྟན་པའི་ཉི་མ།,,1920-,1920,,Student of Khenchen Ngawang Palzangpo,,,Aural,All lineages,Khen Ngawang Palzang Yangsi Rinpoché (Tekchok Tenpai Gyaltsen);Choktrul Nyima Gyaltsen Rinpoché;Dragyab Lama Choden Rinpoché;Jokhang Choktrul Rinpoché;Nyoshul Khenpo Jamyang Dorjé,,,,,,,
Choktrul Nyima Gyaltsen Rinpoché,mchog sprul nyi ma rgyal mtshan,མཆོག་སྤྲུལ་ཉི་མ་རྒྱལ་མཚན།,,1945-,1945,,Student of Lungtrul Shedrup Tenpai Nyima,,,Aural,All lineages,,,,,,,,
Dragyab Lama Choden Rinpoché,brag rgyab chos ldan rin po che,བྲག་རྒྱབ་ཆོས་ལྡན་རིན་པོ་ཆེ།,,1920-2020,1920,,20th century student of Lungtrul Shedrup Tenpai Nyima,,,Aural,All lineages,,,,,,,,
Jokhang Choktrul Rinpoché,jo khang mchog sprul rin po che,ཇོ་ཁང་མཆོག་སྤྲུལ་རིན་པོ་ཆེ།,,1920-2020,1920,,20th century student of Lungtrul Shedrup Tenpai Nyima,,,Aural,All lineages,,,,,,,,
Nyoshul Khenpo Jamyang Dorjé,smyo shul mkhan po 'jam dbyangs rdo rje,སྨྱོ་ཤུལ་མཁན་པོ་འཇམ་དབྱངས་རྡོ་རྗེ།,,1932-1999,1932,Source: Rigpa Wiki,Student of Lungtrul Shedrup Tenpai Nyima,,,Aural,All lineages,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Nyoshul-Khenpo-Jamyang-Dorje/8177,
Choktrul Sang-ngak Tendzin (Tulku Sang-ngak),mchog sprul gsang sngag bstan 'dzin,མཆོག་སྤྲུལ་གསང་སྔག་བསྟན་འཛིན།,,1952-,1952,,Student of Choktrul Orgyen Chemchok,,,Aural,All lineages,Choktrul Orgyen Chemchok,,,,,,,
Choktrul Garwang Nyima,mchog sprul gar dbang nyi ma,མཆོག་སྤྲུལ་གར་དབང་ཉི་མ།,,b. 20th century,1940,,20th century student of Golok Khenchen Munsel,,,Aural,All lineages,,,,,,,,
Khen Lama Rinpoché Achuk,mkhan bla ma rin po che a khyug,མཁན་བླ་མ་རིན་པོ་ཆེ་ཨ་ཁྱུག།,,b. 20th century,1920,,20th century student of Tromgé Choktrul Arik Rinpoché,,,Aural,All lineages,,,,,,,,
Chagdud Tulku Padma Gargyi Wangchuk,lcags mdud sprul sku,ལྕགས་མདུད་སྤྲུལ་སྐུ།,,1930-2002,1930,Source: Rigpa Wiki,Student of Tromgé Choktrul Arik Rinpoché,,,Aural,All lineages,,,,,,Treasury of Lives,https://treasuryoflives.org/bo/biographies/view/Chagdud-Tulku/TBRC_P3JM56,
Dartang Choktrul Chökyi Dawa Rinpoché,dar thang mchog sprul chos kyi zla ba rin po che,དར་ཐང་མཆོག་སྤྲུལ་ཆོས་ཀྱི་ཟླ་བ་རིན་པོ་ཆེ།,,1894-1959,1894,Source: Rigpa Wiki,"Student of 2nd Palyul Drupwang Pema Norbu. He was the second Choktrul Rinpoche of Palyul Monastery, the root teacher of Penor Rinpoche. He received ordination from Kathok Situ Chökyi Gyatso. (Rigpa wiki)",,,Aural,All lineages,,,,,,,,
"3rd Palyul Drupwang Pema Norbu, Jigmé Tupten Shedrup Chokyi Drayang (Kyabjé Penor Rinpoché)",pad nor rin po che,པད་ནོར་རིན་པོ་ཆེ།,,1932-,1932,,Student of 2nd Palyul Drupwang Pema Norbu. He was the 11th throne holder of the Palyul Lineage of the Nyingma school of Tibetan Buddhism. He was the supreme head of the Nyingmapa lineage from 1993 to 2001.,,,Aural,All lineages,,,,,,,,
Khenchen Jigmé Puntsok,jigs med phun tshogs 'byung gnas,འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས།,,1933-2004,1933,,Student of Changma Khenchen Tupten Chöpel,,,Aural,All lineages,,,,,,,,
Dergé Lama Kunga Palden,sde dge bla ma kun dga' dpal ldan,སྡེ་དགེ་བླ་མ་ཀུན་དགའ་དཔལ་ལྡན།,,1878-1944/50,1878,,19th-20th century student of Orgyen Tendzin Norbu. He was a teacher of Dilgo Khyentse Rinpoche and Khunu Lama Tenzin Gyaltsen.,,,Aural,All lineages,Choktrul Lozang Tendzin,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Kunga-Pelden/9594,
Zhenga Dorjé Chang Zhenpen Chökyi Nangwa,mkhan chen gzhan phan chos kyi snang ba,མཁན་ཆེན་གཞན་ཕན་ཆོས་ཀྱི་སྣང་བ།,,1871-1927,1871,Source: Rangjung Yeshe Wiki,Student of Orgyen Tendzin Norbu,,,Aural,All lineages,Khenchen Ngawang Palzangpo (Khenpo Ngaga);Palpung Tai Situ Rinpoché Pema Wangchok Gyalpo;Bo Gangkar Rinpoché (Karma Shedrup Chökyi Seng-gé);Nyarong Guru Tulku;Drukpa Geshé Tenpa Rinchen;Zurmang Khenchen Pema Namgyal;Khenchen Gönpo;Tuksé Serkha Chodrak;Rahor Palden Chökyi Drakpa;Khunu Rinpoché Tendzin Gyaltsen;Tuksé Doring Choktrul Rinpoché,,Gemang Gyalse Rigpai Dorjé (Gyalse Zhenpen Tayé Özer),,,,,
Choktrul Lozang Tendzin,mchog sprul blo bzang bstan 'dzin,མཆོག་སྤྲུལ་བློ་བཟང་བསྟན་འཛིན།,,19th-20th centuries,1880,,19th-20th century student of Dergé Lama Kunga Palden,,,Aural,All lineages,Apang Terchen Orgyen Trinlé Lingpa,,,,,,,
Apang Terchen Orgyen Trinlé Lingpa,a pang gter ston o rgyan phrin las gling pa,ཨ་པང་གཏེར་སྟོན་ཨོ་རྒྱན་ཕྲིན་ལས་གླིང་པ།,,1895-1945,1895,"Source: Rigpa Wiki, courtesy of www.aming.cc","Treasure revealer whose body could pass through solid objects and who discovered many terma teachings, and one of Dudjom Lingpa's miraculously conceived sons. (Rigpa Wiki)",student of Choktrul Lozang Tendzin,,Aural,All lineages,Jangchub Dorjé,,,,,BDRC,https://library.bdrc.io/show/bdr:P6489?,
Jangchub Dorjé,byang chub rdo rje,བྱང་ཆུབ་རྡོ་རྗེ།,,20th century,1920,,"20th century student of Apang Terchen. Born in Golok, Tibet, he also studied with Dzongter Kunzang Nyima, Jamyang Khyentse Chökyi Lodrö and Dudjom Rinpoche. He was responsible for transmitting Apang Tertön's lineage to the tertön's tulku, His Holiness Sakya Trizin. Changchub Dorje also gave Apang Tertön's Red Tara cycle to Chagdud Tulku Rinpoche. (Rigpa Wiki)",,,Aural,All lineages,,,,,,,,
Palpung Tai Situ Rinpoché Pema Wangchok Gyalpo,pad ma dbang mchog rgyal po,པདྨ་དབང་མཆོག་རྒྱལ་པོ།,,1886-1952,1886,Source: Rigpa Wiki,"Student of Zhenga Dorjé Chang. He was recognized at the age of four as the reincarnation of the previous Tai Situ by the Fifteenth Karmapa, Khakhyap Dorje, Palpung Situ Pema Wangchok Gyalpo was then enthroned at Palpung Monastery. He received ordination and teachings from Khakhyap Dorje, as well as teachings and empowerments from Jamgön Kongtrul Lodrö Thayé. Situ Rinpoche later recognized the Sixteenth Gyalwa Karmapa, Rangjung Rigpé Dorje, and performed his enthronement and ordination. He transmitted the complete teachings to him and bestowed all the initiations, explanations and empowerments. Palpung Situ Pema Wangchok Gyalpo was also one of the main teachers of the Second Jamgön Kongtrul Rinpoche, Karsé Kongtrul. At about the age of fifty he visited the great Surmang Monastery, and performed many miracles. He passed the rest of his life partly in meditation and partly giving teachings to his many disciples. At the age of 67 he passed away amidst many auspicious signs. (Rigpa Wiki)",,,Aural,All lineages,Zurmang Khenchen Pema Namgyal;1st Dzigar Kongtrul Rinpoché,,,,,BDRC,https://library.bdrc.io/show/bdr:P925?,
Bo Gangkar Rinpoché (Karma Shedrup Chökyi Seng-gé),karma bshad sgrub chos kyi seng+ge,ཀརྨ་བཤད་སྒྲུབ་ཆོས་ཀྱི་སེངྒེ།,,1892-1957,1892,,Student of Zhenga Dorjé Chang,,,Aural,All lineages,Zhenga Dorjé Chang Zhenpen Chökyi Nangwa,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Karma-Shedrub-Chokyi-Sengge/2730,
Nyarong Guru Tulku,nyag rong gu ru sprul sku,ཉག་རོང་གུ་རུ་སྤྲུལ་སྐུ།,,20th century,1900,,20th century student of Zhenga Dorjé Chang,,,Aural,All lineages,,,,,,,,
Drukpa Geshé Tenpa Rinchen,brug pa dge bshes bstan pa rin chen,འབྲུག་པ་དགེ་བཤེས་བསྟན་པ་རིན་ཆེན།,,20th century,1900,,20th century student of Zhenga Dorjé Chang,,,Aural,All lineages,,,,,,,,
Zurmang Khenchen Pema Namgyal,zur mang pad+ma rnam rgyal,ཟུར་མང་པདྨ་རྣམ་རྒྱལ།,,20th century,1900,,20th century student of Zhenga Dorjé Chang and Palpung Tai Situ,,,Aural,All lineages,Zurmang Tenga Rinpoché,,,,,BDRC,https://library.bdrc.io/show/bdr:P5784?,
Zurmang Tenga Rinpoché,bstan dga' rin po che,བསྟན་དགའ་རིན་པོ་ཆེ།,,1932-2012,1932,,20th century student of Zurmang Khenchen Pema Namgyal,,,Aural,All lineages,,,,,,,,
Khenchen Gönpo,mkhan po yon tan mgon po,མཁན་པོ་ཡོན་ཏན་མགོན་པོ།,,1899-1959,1899,Source: Rigpa Wiki,Student of Zhenga Dorjé Chang,,,Aural,All lineages,Khenpo Tsöndrü,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Yonten-Gonpo/9203,
Khenpo Tsöndrü,mkhan po thub bstan brtson 'grus phun tshogs,མཁན་པོ་ཐུབ་བསྟན་བརྩོན་འགྲུས་ཕུན་ཚོགས།,,1920-1979,1950,Source: Rigpa Wiki,Student of Khenchen Gönpo,,,Aural,All lineages,,,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Tubten-Tsondru/10146,
Tuksé Serkha Chodrak,thugs sras ser khang chos grags,ཐུགས་སྲས་སེར་ཁང་ཆོས་གྲགས།,,19th-20th centuries,1875,,19th-20th century student of Zhenga Dorjé Chang,,,Aural,All lineages,,,,,,,,
Rahor Palden Chökyi Drakpa,ra hor dpal ldan chos kyi grags pa,ར་ཧོར་དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པ།,,?-1901,1875,,Student of Zhenga Dorjé Chang,,,Aural,All lineages,,,,,,,,
Khunu Rinpoché Tendzin Gyaltsen,khu nu bla ma bstan 'dzin rgyal mtshan,ཁུ་ནུ་བླ་མ་བསྟན་འཛིན་རྒྱལ་མཚན།,,1895-1977,1900,Source: Rigpa Wiki,"Student of Zhenga Dorjé Chang. He was also a teacher of His Holiness the Dalai Lama, especially for the Bodhicharyavatara, for which he held Patrul Rinpoche’s lineage, having received it from one of the great khenpos at Dzogchen monastery. (Rigpa wiki)",,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P740?,
Tuksé Doring Choktrul Rinpoché,rdo ring sprul sku 'jam dbyangs kun bzang lung rig chos kyi nyi ma,རྡོ་རིང་སྤྲུལ་སྐུ་འཇམ་དབྱངས་ཀུན་བཟང་ལུང་རིག་ཆོས་ཀྱི་ཉི་མ།,,20th century,1900,,"20th century student of Zhenga Dorjé Chang. He was recognized as a direct incarnation of Do Khyentse Yeshe Dorje. In 1933, he went to Bhutan and founded Nyimalung Monastery there. While back in Tibet in 1940, he roamed widely throughout Tibet, went to Lama Ling and became a direct student of Dudjom Rinpoche. (Rigpa Wiki)",,,Aural,All lineages,,,,,,BDRC,https://library.bdrc.io/show/bdr:P2JM501?,
1st Dzigar Kongtrul Rinpoché,dzi sgar kong sprul blo gros,འཛི་སྒར་ཀོང་སྤྲུལ་བློ་གྲོས།,,1901?-1958?,1901,,"Student of Palpung Tai Situ. He was one of the five immediate reincarnations of Jamgön Kongtrul. Dzigar Kongtrul Lodrö Rabpel was recognized by the Fifteenth Karmapa, Khakhyap Dorje and subsequently enthroned and brought up at Palpung Monastery. There, he studied the sutras with the great Khenpo Shenga, and did a three-year retreat above Palpung, at the historic Tsadra Rinchen Drak retreat centre founded by his predecessor. At some point he left Palpung Monastery and went to Neten Monastery, which was headed at that time by the Third Neten Chokling Pema Gyurme. There, he received the Treasury of Precious Termas from, and studied with Kyungtrul Kargyam, one of the foremost disciples of Jamgön Kongtrul Lodrö Tayé. He eventually established his own monastery near Neten Monastery in a place where there was a beautiful lake and so his monastery became known as Tsokar Monastery. (Rigpa Wiki)",,,Aural,All lineages,,,Jamgön Kongtrul Yönten Gyatso Lodrö Tayé,,,BDRC,https://library.bdrc.io/show/bdr:P1PD108567?,
